order_id,customer_id,order_value,order_date
230,1506,446.71,2025-01-17
231,70,307.69,2025-01-06
232,378,497.29,2025-01-04
233,772,104.63,2025-01-31
234,1195,219.84,2025-01-28
235,2091,349.26,2025-01-16
236,1644,287.72,2025-01-27
237,462,146.64,2025-01-03
238,308,247.11,2025-01-14
239,1832,110.18,2025-01-23
240,1595,357.1,2025-01-09
241,1511,457.1,2025-01-24
242,2001,453.95,2025-01-28
243,1579,379.82,2025-01-31
244,1529,286.31,2025-01-18
245,368,304.81,2025-01-05
246,1451,154.77,2025-01-20
247,1926,236.41,2025-01-23
248,387,175.09,2025-01-26
249,1108,428.48,2025-01-10
250,1392,465.9,2025-01-24
251,1687,314.77,2025-01-16
252,550,391.11,2025-01-29
253,1438,148.59,2025-01-10
254,734,343.41,2025-01-25
255,761,381.12,2025-01-22
256,1140,281.11,2025-01-10
257,47,197.31,2025-01-15
258,649,450.95,2025-01-24
259,769,397.16,2025-01-22
260,945,459.94,2025-01-17
261,1411,427.36,2025-01-25
262,275,496.15,2025-01-24
263,1053,176.87,2025-01-26
264,2034,134.7,2025-01-27
265,321,234.8,2025-01-18
266,204,151.6,2025-01-14
267,621,309.25,2025-01-10
268,1211,353.21,2025-01-16
269,1734,331.32,2025-01-08
270,1989,203.7,2025-01-02
271,1696,463.53,2025-01-02
272,640,108.47,2025-01-06
273,1847,239.21,2025-01-25
274,1312,387.6,2025-01-10
275,110,406.77,2025-01-13
276,393,266.45,2025-01-07
277,1704,106.76,2025-01-29
278,1187,347.22,2025-01-14
279,1239,125.24,2025-01-27
280,1144,143.14,2025-01-29
281,1173,360.1,2025-01-09
282,893,225.0,2025-01-16
283,132,239.21,2025-01-07
284,2090,294.72,2025-01-28
285,605,491.43,2025-01-07
286,395,486.18,2025-01-05
287,160,266.5,2025-01-12
288,1781,206.2,2025-01-22
289,197,221.04,2025-01-31
290,1477,207.51,2025-01-19
291,1641,312.9,2025-01-04
292,1035,342.74,2025-01-04
293,743,295.51,2025-01-31
294,1891,263.2,2025-01-13
295,242,184.51,2025-01-28
296,477,293.0,2025-01-22
297,1650,236.44,2025-01-31
298,2006,316.64,2025-01-22
299,1869,370.08,2025-01-07
300,1587,353.32,2025-01-22
301,1833,285.0,2025-01-29
302,1006,322.42,2025-01-07
303,962,213.94,2025-01-09
304,1775,109.7,2025-01-16
305,1698,350.01,2025-01-19
306,237,201.03,2025-01-21
307,351,367.58,2025-01-30
308,116,398.8,2025-01-17
309,1029,466.37,2025-01-07
310,210,483.25,2025-01-29
311,83,104.21,2025-01-22
312,276,496.15,2025-01-18
313,1921,373.21,2025-01-10
314,55,357.41,2025-01-20
315,791,106.09,2025-01-19
316,1559,444.49,2025-01-26
317,1105,158.2,2025-01-24
318,451,434.93,2025-01-06
319,269,106.23,2025-01-29
320,199,358.39,2025-01-07
321,688,273.92,2025-01-13
322,829,180.31,2025-01-12
323,1907,143.02,2025-01-17
324,1481,276.05,2025-01-21
325,1534,149.32,2025-01-18
326,1654,294.58,2025-01-21
327,1955,350.09,2025-01-10
328,1000,430.95,2025-01-02
329,1992,371.46,2025-01-27
330,1515,126.08,2025-01-04
331,940,222.97,2025-01-22
332,181,215.19,2025-01-24
333,30,466.01,2025-01-10
334,369,447.11,2025-01-23
335,999,248.06,2025-01-20
336,694,128.46,2025-01-14
337,733,457.64,2025-01-24
338,1632,455.28,2025-01-15
339,1547,441.9,2025-01-21
340,870,438.03,2025-01-20
341,1513,292.1,2025-01-31
342,536,170.97,2025-01-24
343,986,291.0,2025-01-28
344,582,297.84,2025-01-28
345,22,295.97,2025-01-08
346,789,315.51,2025-01-05
347,250,203.06,2025-01-13
348,1150,246.5,2025-01-24
349,1251,273.67,2025-01-28
350,2043,152.45,2025-01-15
351,1359,282.15,2025-01-03
352,297,424.19,2025-01-02
353,1321,431.22,2025-01-29
354,296,264.63,2025-01-19
355,14,307.52,2025-01-21
356,208,113.46,2025-01-09
357,1068,369.77,2025-01-04
358,501,261.84,2025-01-27
359,1571,278.19,2025-01-07
360,1517,449.47,2025-01-23
361,56,284.73,2025-01-14
362,1699,108.48,2025-01-10
363,1220,191.0,2025-01-10
364,338,290.25,2025-01-21
365,271,269.76,2025-01-10
366,794,444.15,2025-01-16
367,725,316.86,2025-01-14
368,695,375.85,2025-01-23
369,781,287.73,2025-01-17
370,1471,275.86,2025-01-03
371,620,278.51,2025-01-27
372,1685,264.37,2025-01-15
373,599,315.43,2025-01-28
374,811,200.18,2025-01-07
375,209,456.42,2025-01-03
376,1528,233.23,2025-01-09
377,1778,159.01,2025-01-05
378,1551,138.62,2025-01-22
379,1577,105.37,2025-01-25
380,1748,269.14,2025-01-15
381,1450,175.04,2025-01-12
382,1396,108.66,2025-01-25
383,1894,308.01,2025-01-29
384,239,371.99,2025-01-15
385,100,134.3,2025-01-13
386,578,284.37,2025-01-17
387,1974,397.45,2025-01-07
388,1815,494.32,2025-01-21
389,193,366.88,2025-01-02
390,1082,197.94,2025-01-13
391,2078,386.62,2025-01-08
392,1147,339.17,2025-01-09
393,1567,184.72,2025-01-10
394,4,440.44,2025-01-03
395,567,270.96,2025-01-18
396,126,484.79,2025-01-21
397,766,389.16,2025-01-14
398,1557,357.83,2025-01-06
399,1298,391.34,2025-01-11
400,805,291.24,2025-01-13
401,170,302.09,2025-01-18
402,1930,440.48,2025-01-22
403,1347,372.37,2025-01-07
404,144,458.9,2025-01-04
405,2033,456.33,2025-01-29
406,376,490.6,2025-01-16
407,1742,380.09,2025-01-08
408,85,300.92,2025-01-31
409,28,166.52,2025-01-07
410,268,382.15,2025-01-05
411,1536,216.63,2025-01-20
412,1604,213.18,2025-01-06
413,1448,195.32,2025-01-04
414,1626,450.05,2025-01-27
415,932,447.19,2025-01-26
416,148,352.39,2025-01-10
417,245,289.19,2025-01-07
418,616,368.85,2025-01-14
419,1070,342.89,2025-01-28
420,1111,266.29,2025-01-23
421,1336,251.85,2025-01-29
422,329,253.12,2025-01-31
423,1888,335.65,2025-01-21
424,249,359.07,2025-01-05
425,18,280.7,2025-01-03
426,1501,487.48,2025-01-27
427,1090,133.54,2025-01-05
428,1613,238.82,2025-01-09
429,600,267.63,2025-01-14
430,778,106.77,2025-01-11
431,32,245.98,2025-01-19
432,1371,209.48,2025-01-10
433,878,302.41,2025-01-31
434,180,234.56,2025-01-02
435,259,390.47,2025-01-14
436,914,303.97,2025-01-19
437,1961,151.9,2025-01-16
438,1886,400.02,2025-01-03
439,383,139.69,2025-01-12
440,2038,435.62,2025-01-30
441,1791,472.57,2025-01-15
442,1459,228.98,2025-01-23
443,2048,470.46,2025-01-16
444,1095,417.2,2025-01-15
445,1615,468.97,2025-01-17
446,929,366.51,2025-01-24
447,810,194.26,2025-01-30
448,1998,457.81,2025-01-16
449,1771,173.71,2025-01-20
450,215,185.22,2025-01-28
451,877,208.43,2025-01-10
452,2023,221.7,2025-01-06
453,1334,305.79,2025-01-06
454,1104,385.38,2025-01-12
455,1142,470.48,2025-01-29
456,1827,135.38,2025-01-21
457,756,481.75,2025-01-26
458,876,468.53,2025-01-25
459,1376,121.6,2025-01-29
460,1269,244.13,2025-01-05
461,1640,425.26,2025-01-21
462,597,344.63,2025-01-19
463,1824,411.64,2025-01-26
464,1732,387.61,2025-01-04
465,1215,298.71,2025-01-05
466,1920,116.49,2025-01-15
467,554,333.71,2025-01-08
468,1694,119.43,2025-01-27
469,637,341.49,2025-01-09
470,1417,420.16,2025-01-25
471,1843,334.0,2025-01-17
472,1242,498.81,2025-01-21
473,979,282.35,2025-01-16
474,205,399.53,2025-01-08
475,159,366.89,2025-01-27
476,969,496.57,2025-01-18
477,1790,385.29,2025-01-23
478,2035,165.61,2025-01-23
479,776,482.21,2025-01-23
480,340,367.11,2025-01-13
481,2099,123.74,2025-01-19
482,2016,363.03,2025-01-25
483,1795,453.25,2025-01-15
484,1674,330.82,2025-01-16
485,2005,241.61,2025-01-16
486,231,428.36,2025-01-06
487,1817,413.0,2025-01-17
488,61,317.67,2025-01-06
489,1947,161.74,2025-01-03
490,65,200.39,2025-01-21
491,874,395.39,2025-01-29
492,1203,422.43,2025-01-26
493,12,211.71,2025-01-10
494,1112,247.19,2025-01-23
495,370,131.05,2025-01-28
496,88,385.38,2025-01-10
497,24,101.43,2025-01-05
498,1850,118.62,2025-01-16
499,1872,101.74,2025-01-12
500,1286,358.13,2025-01-02
501,1199,266.95,2025-01-19
502,445,219.02,2025-01-30
503,1689,465.08,2025-01-02
504,102,177.12,2025-01-09
505,1521,255.75,2025-01-26
506,1780,476.12,2025-01-17
507,864,270.84,2025-01-27
508,1856,321.88,2025-01-29
509,1903,132.13,2025-01-23
510,1076,416.07,2025-01-19
511,257,269.1,2025-01-23
512,807,420.21,2025-01-10
513,60,201.52,2025-01-13
514,90,268.99,2025-01-20
515,1531,414.62,2025-01-26
516,980,489.55,2025-01-19
517,195,123.85,2025-01-28
518,924,424.98,2025-01-06
519,389,220.28,2025-01-28
520,285,320.3,2025-01-03
521,2050,216.04,2025-01-08
522,539,345.38,2025-01-28
523,792,241.52,2025-01-11
524,606,233.45,2025-01-16
525,1414,115.18,2025-01-26
526,653,158.78,2025-01-08
527,1973,466.83,2025-01-29
528,661,499.31,2025-01-06
529,559,412.21,2025-01-16
530,586,214.73,2025-01-21
531,1115,260.98,2025-01-29
532,34,395.8,2025-01-21
533,1442,487.41,2025-01-16
534,1031,282.19,2025-01-11
535,16,431.81,2025-01-25
536,365,490.03,2025-01-27
537,1409,449.39,2025-01-30
538,1116,190.86,2025-01-27
539,1254,103.21,2025-01-15
540,1383,296.83,2025-01-27
541,192,312.54,2025-01-27
542,1585,180.5,2025-01-11
543,1656,213.87,2025-01-18
544,1476,406.06,2025-01-22
545,1017,288.14,2025-01-15
546,1172,226.94,2025-01-03
547,72,349.05,2025-01-17
548,1548,361.1,2025-01-14
549,2064,407.76,2025-01-28
550,1127,162.68,2025-01-10
551,2018,396.61,2025-01-08
552,1805,339.77,2025-01-17
553,1145,123.03,2025-01-11
554,447,410.98,2025-01-25
555,1343,253.23,2025-01-23
556,45,232.15,2025-01-10
557,8,279.23,2025-01-23
558,992,238.47,2025-01-24
559,1786,235.31,2025-01-08
560,2011,423.23,2025-01-17
561,57,149.8,2025-01-10
562,1143,488.24,2025-01-28
563,1284,321.97,2025-01-25
564,1721,173.17,2025-01-30
565,839,152.49,2025-01-18
